@RELATION student_feedback

@ATTRIBUTE Student_Name STRING
@ATTRIBUTE Roll_No STRING
@ATTRIBUTE Department {CSE,ECE,EEE,MECH,CIVIL,IT}
@ATTRIBUTE Section {A,B,C}
@ATTRIBUTE Q1_Teaching NUMERIC
@ATTRIBUTE Q2_Content NUMERIC
@ATTRIBUTE Q3_Interaction NUMERIC
@ATTRIBUTE Q4_Resources NUMERIC
@ATTRIBUTE Q5_Overall NUMERIC

@DATA
Arjun Naidu,R1711,ECE,A,2.0,2.0,5.0,4.0,1.0
Sai Reddy,R1712,ECE,C,4.0,5.0,4.0,1.0,4.0
Vihaan Kumar,R1713,CIVIL,B,2.0,3.0,2.0,2.0,2.0
Aditya Reddy,R1714,IT,C,4.0,4.0,2.0,3.0,3.0
Diya Reddy,R1715,IT,A,4.0,3.0,2.0,1.0,2.0
Pavani Reddy,R1716,EEE,C,5.0,3.0,2.0,4.0,5.0
Meera Rao,R1717,ECE,C,1.0,2.0,4.0,3.0,1.0
Vihaan Rao,R1718,IT,C,3.0,2.0,5.0,3.0,1.0
Meera Rao,R1719,IT,B,5.0,2.0,5.0,4.0,?
Arjun Rao,R1720,CSE,A,5.0,1.0,1.0,4.0,4.0
Rohan Reddy,R1721,CSE,B,2.0,3.0,3.0,2.0,1.0
Aarav Sharma,R1722,MECH,B,2.0,?,4.0,2.0,3.0
Isha Rao,R1723,ECE,B,4.0,4.0,3.0,2.0,3.0
Aditya Sharma,R1724,MECH,C,1.0,5.0,1.0,1.0,3.0
Meera Reddy,R1725,MECH,B,5.0,3.0,2.0,4.0,1.0
Sneha Kumar,R1726,EEE,B,1.0,5.0,4.0,4.0,2.0
Keerthi Sharma,R1727,EEE,B,2.0,1.0,5.0,2.0,5.0
Meera Rao,R1728,IT,C,4.0,2.0,4.0,3.0,3.0
Rohan Naidu,R1729,IT,B,2.0,2.0,5.0,1.0,2.0
Pooja Reddy,?,CSE,B,?,3.0,1.0,4.0,5.0
Nikhil Naidu,R1731,CSE,C,1.0,2.0,2.0,3.0,4.0
Sai Reddy,R1732,CIVIL,A,3.0,2.0,1.0,1.0,?
Nikhil Rao,R1733,MECH,A,4.0,4.0,1.0,3.0,5.0
Nikhil Kumar,R1734,CSE,A,4.0,4.0,3.0,5.0,1.0
Keerthi Kumar,R1735,MECH,A,2.0,3.0,2.0,4.0,1.0
Diya Rao,R1736,ECE,C,2.0,4.0,4.0,5.0,3.0
Keerthi Rao,R1737,EEE,B,5.0,4.0,1.0,4.0,1.0
?,R1738,ECE,A,5.0,2.0,1.0,5.0,2.0
Ananya Sharma,?,CSE,C,5.0,4.0,3.0,5.0,?
Vihaan Kumar,R1740,MECH,C,3.0,1.0,5.0,5.0,2.0
?,R1741,ECE,A,1.0,2.0,1.0,3.0,4.0
Vihaan Reddy,R1742,EEE,B,5.0,1.0,4.0,2.0,4.0
Aditya Naidu,R1743,EEE,C,5.0,1.0,4.0,3.0,3.0
Rohan Reddy,R1744,MECH,A,5.0,2.0,3.0,3.0,2.0
Rahul Rao,R1745,CSE,A,2.0,3.0,1.0,1.0,3.0
Harsha Reddy,R1746,CSE,B,5.0,3.0,2.0,5.0,3.0
Teja Reddy,R1747,CIVIL,C,3.0,1.0,5.0,5.0,2.0
Aarav Reddy,R1748,IT,C,4.0,3.0,3.0,4.0,2.0
Isha Naidu,R1749,CSE,C,2.0,3.0,3.0,2.0,4.0
Sai Reddy,R1750,ECE,B,5.0,1.0,1.0,5.0,2.0
Arjun Rao,R1751,CSE,?,2.0,4.0,4.0,3.0,3.0
Rohan Kumar,R1752,IT,A,?,4.0,3.0,1.0,2.0
Keerthi Naidu,R1753,EEE,C,5.0,1.0,5.0,3.0,5.0
Vihaan Rao,R1754,CSE,A,3.0,5.0,1.0,5.0,3.0
Divya Rao,R1755,CIVIL,B,3.0,1.0,2.0,4.0,4.0
Isha Kumar,R1756,ECE,C,5.0,5.0,2.0,3.0,4.0
Sai Naidu,R1757,EEE,A,2.0,4.0,3.0,4.0,4.0
Divya Kumar,R1758,ECE,B,4.0,3.0,1.0,4.0,2.0
Harsha Reddy,R1759,CIVIL,B,5.0,3.0,4.0,4.0,4.0
Harsha Kumar,R1760,CIVIL,A,5.0,3.0,1.0,5.0,4.0
Teja Reddy,R1761,CIVIL,C,3.0,5.0,3.0,3.0,2.0
?,R1762,ECE,C,2.0,3.0,5.0,5.0,1.0
Harsha Rao,R1763,ECE,C,1.0,2.0,1.0,5.0,4.0
Sneha Kumar,R1764,MECH,A,3.0,2.0,3.0,1.0,1.0
Rahul Naidu,R1765,EEE,C,1.0,3.0,5.0,3.0,1.0
Kavya Naidu,R1766,MECH,C,4.0,4.0,3.0,3.0,5.0
Aarav Kumar,R1767,MECH,B,3.0,5.0,3.0,3.0,4.0
Ananya Rao,R1768,CSE,C,1.0,2.0,2.0,3.0,5.0
Sneha Naidu,R1769,ECE,B,1.0,1.0,2.0,3.0,3.0
Divya Rao,R1770,IT,A,4.0,4.0,2.0,5.0,2.0
Aarav Rao,R1771,CSE,C,4.0,1.0,2.0,3.0,4.0
Sai Sharma,R1772,MECH,C,4.0,5.0,4.0,5.0,1.0
Arjun Reddy,R1773,CIVIL,B,2.0,5.0,2.0,2.0,1.0
Divya Rao,R1774,MECH,A,5.0,2.0,3.0,1.0,4.0
Aditya Kumar,R1775,CSE,C,1.0,5.0,4.0,2.0,3.0
Vihaan Rao,R1776,MECH,C,2.0,2.0,3.0,5.0,1.0
Aditya Reddy,R1777,ECE,A,5.0,5.0,3.0,2.0,5.0
Rahul Sharma,R1778,IT,B,2.0,3.0,4.0,2.0,4.0
Sai Reddy,R1779,IT,A,3.0,4.0,1.0,4.0,3.0
Meera Sharma,R1780,EEE,B,5.0,2.0,4.0,4.0,3.0
Arjun Kumar,R1781,MECH,C,4.0,?,2.0,2.0,2.0
Rahul Reddy,R1782,CSE,B,4.0,5.0,5.0,?,4.0
Pavani Sharma,R1783,EEE,C,1.0,5.0,1.0,2.0,5.0
Teja Sharma,R1784,CIVIL,A,2.0,4.0,3.0,3.0,5.0
Rohan Sharma,R1785,MECH,A,4.0,5.0,2.0,2.0,1.0
Teja Reddy,R1786,CIVIL,C,3.0,3.0,4.0,4.0,1.0
Pavani Naidu,R1787,EEE,A,1.0,1.0,3.0,3.0,1.0
Pooja Naidu,R1788,EEE,A,5.0,5.0,2.0,4.0,4.0
Diya Naidu,R1789,EEE,C,4.0,2.0,1.0,5.0,3.0
Nikhil Reddy,R1790,CIVIL,C,2.0,4.0,1.0,2.0,4.0
Ananya Rao,R1791,CIVIL,A,5.0,4.0,3.0,?,3.0
Rohan Kumar,R1792,IT,A,2.0,4.0,1.0,3.0,5.0
Rohan Naidu,R1793,ECE,A,3.0,2.0,5.0,5.0,1.0
Pooja Naidu,R1794,ECE,A,4.0,5.0,4.0,5.0,1.0
Vihaan Rao,R1795,IT,A,1.0,1.0,5.0,3.0,3.0
Vihaan Sharma,R1796,?,C,4.0,2.0,4.0,5.0,5.0
Diya Reddy,R1797,IT,C,1.0,2.0,5.0,3.0,4.0
Isha Kumar,R1798,ECE,C,3.0,1.0,1.0,4.0,5.0
Harsha Reddy,R1799,IT,C,3.0,4.0,3.0,4.0,4.0
Pooja Reddy,R1800,EEE,B,2.0,3.0,5.0,5.0,3.0
Isha Reddy,R1801,CIVIL,C,1.0,4.0,1.0,3.0,1.0
Pooja Rao,R1802,CSE,B,2.0,4.0,3.0,3.0,3.0
Aarav Kumar,R1803,MECH,A,4.0,5.0,5.0,3.0,1.0
Pooja Rao,R1804,CSE,?,4.0,4.0,2.0,1.0,5.0
Sai Kumar,R1805,ECE,B,1.0,1.0,4.0,3.0,2.0
Arjun Kumar,R1806,IT,A,2.0,3.0,4.0,1.0,1.0
Rahul Kumar,R1807,IT,C,1.0,5.0,3.0,3.0,5.0
Ananya Sharma,R1808,MECH,C,2.0,3.0,4.0,3.0,5.0
Vihaan Kumar,R1809,ECE,B,5.0,3.0,3.0,1.0,4.0
Rahul Kumar,R1810,CSE,B,5.0,1.0,5.0,1.0,3.0
Sai Sharma,R1811,ECE,C,2.0,5.0,4.0,2.0,4.0
?,R1812,CIVIL,B,2.0,5.0,3.0,2.0,4.0
Nikhil Kumar,R1813,CSE,B,1.0,3.0,1.0,5.0,3.0
Pavani Rao,R1814,MECH,A,3.0,2.0,4.0,1.0,5.0
Aditya Rao,R1815,EEE,B,1.0,1.0,4.0,5.0,5.0
Nikhil Kumar,R1816,ECE,A,4.0,1.0,2.0,5.0,5.0
Harsha Reddy,R1817,MECH,A,3.0,4.0,5.0,1.0,1.0
Divya Naidu,R1818,IT,B,4.0,5.0,5.0,4.0,1.0
Isha Kumar,R1819,CIVIL,B,3.0,2.0,4.0,5.0,4.0
Sai Kumar,R1820,IT,C,5.0,2.0,2.0,1.0,2.0
Keerthi Kumar,R1821,ECE,A,3.0,1.0,3.0,2.0,3.0
Arjun Naidu,R1822,EEE,B,5.0,3.0,1.0,2.0,2.0
Pooja Reddy,R1823,MECH,A,5.0,3.0,3.0,3.0,?
Harsha Sharma,R1824,MECH,B,5.0,3.0,3.0,3.0,3.0
Rahul Kumar,R1825,EEE,B,4.0,5.0,2.0,1.0,3.0
Pooja Reddy,R1826,ECE,A,1.0,2.0,5.0,?,1.0
Diya Rao,R1827,CIVIL,C,5.0,4.0,3.0,5.0,3.0
Nikhil Kumar,R1828,MECH,C,3.0,1.0,1.0,5.0,5.0
Isha Kumar,R1829,CIVIL,C,1.0,3.0,5.0,5.0,2.0
Ananya Reddy,R1830,MECH,B,2.0,2.0,2.0,3.0,2.0
Ananya Sharma,R1831,EEE,A,3.0,4.0,1.0,1.0,3.0
Keerthi Sharma,R1832,ECE,B,1.0,2.0,4.0,5.0,4.0
Sai Reddy,R1833,ECE,C,3.0,5.0,2.0,5.0,1.0
Meera Kumar,R1834,CIVIL,?,2.0,2.0,3.0,3.0,5.0
Kavya Kumar,R1835,CSE,B,5.0,4.0,4.0,3.0,4.0
Pavani Rao,R1836,CIVIL,A,2.0,2.0,3.0,1.0,2.0
Vihaan Kumar,R1837,MECH,C,4.0,1.0,3.0,5.0,3.0
Rohan Reddy,R1838,EEE,B,5.0,4.0,4.0,5.0,5.0
Ananya Naidu,R1839,EEE,A,4.0,4.0,1.0,2.0,3.0
Pooja Kumar,R1840,CIVIL,A,4.0,5.0,1.0,4.0,5.0
Ananya Sharma,R1841,MECH,A,4.0,3.0,2.0,3.0,4.0
Rahul Sharma,R1842,EEE,A,2.0,3.0,3.0,1.0,1.0
Nikhil Sharma,R1843,EEE,A,5.0,2.0,2.0,4.0,4.0
Divya Reddy,R1844,CIVIL,C,5.0,3.0,3.0,5.0,4.0
Diya Naidu,R1845,MECH,A,3.0,2.0,3.0,4.0,1.0
Keerthi Kumar,R1846,MECH,C,2.0,5.0,2.0,4.0,4.0
Harsha Rao,R1847,EEE,A,4.0,3.0,4.0,1.0,4.0
Nikhil Kumar,R1848,IT,C,3.0,4.0,3.0,1.0,3.0
Aarav Reddy,R1849,CSE,C,1.0,2.0,4.0,3.0,3.0
Pooja Reddy,R1850,CSE,C,3.0,2.0,1.0,1.0,5.0
Nikhil Naidu,R1851,IT,C,5.0,4.0,1.0,5.0,5.0
Isha Rao,R1852,CIVIL,C,5.0,4.0,2.0,5.0,3.0
Kavya Kumar,R1853,CSE,B,3.0,5.0,3.0,4.0,2.0
Teja Kumar,R1854,IT,C,5.0,5.0,2.0,3.0,5.0
Harsha Sharma,R1855,ECE,C,1.0,3.0,3.0,3.0,2.0
Rohan Sharma,?,EEE,A,2.0,1.0,3.0,3.0,4.0
Nikhil Sharma,R1857,EEE,C,1.0,3.0,3.0,5.0,1.0
Teja Sharma,?,CSE,A,1.0,3.0,2.0,3.0,2.0
Isha Reddy,R1859,MECH,A,5.0,2.0,1.0,5.0,5.0
?,R1860,EEE,C,4.0,5.0,4.0,4.0,2.0
Keerthi Kumar,R1861,?,A,2.0,4.0,2.0,2.0,2.0
Rohan Reddy,R1862,CSE,A,2.0,2.0,3.0,1.0,5.0
Teja Rao,R1863,ECE,B,3.0,5.0,5.0,5.0,2.0
Sai Naidu,R1864,CSE,B,2.0,2.0,1.0,2.0,4.0
Sneha Sharma,R1865,MECH,C,4.0,2.0,5.0,4.0,1.0
Arjun Reddy,R1866,CSE,A,3.0,4.0,1.0,3.0,2.0
Arjun Sharma,R1867,ECE,A,5.0,1.0,5.0,2.0,2.0
Aarav Sharma,R1868,CIVIL,C,2.0,5.0,2.0,3.0,1.0
Isha Reddy,R1869,CIVIL,A,1.0,3.0,4.0,3.0,1.0
Rahul Rao,R1870,CIVIL,A,1.0,5.0,3.0,?,4.0
Pavani Rao,?,CIVIL,B,1.0,3.0,4.0,2.0,5.0
Rohan Rao,R1872,EEE,A,3.0,3.0,4.0,1.0,3.0
Sai Kumar,R1873,CIVIL,A,3.0,3.0,4.0,5.0,4.0
Diya Rao,R1874,EEE,C,4.0,4.0,3.0,5.0,3.0
Keerthi Naidu,R1875,MECH,C,1.0,2.0,2.0,5.0,4.0
Vihaan Reddy,R1876,ECE,B,5.0,3.0,2.0,3.0,3.0
Sneha Sharma,R1877,CIVIL,B,1.0,2.0,1.0,2.0,3.0
Rohan Rao,R1878,IT,C,5.0,5.0,4.0,2.0,1.0
Kavya Sharma,R1879,EEE,B,1.0,5.0,2.0,1.0,4.0
Meera Reddy,R1880,EEE,A,5.0,1.0,2.0,2.0,2.0
Rohan Kumar,R1881,IT,B,4.0,4.0,3.0,2.0,4.0
Vihaan Sharma,R1882,CSE,B,1.0,3.0,2.0,2.0,5.0
Keerthi Reddy,R1883,MECH,B,1.0,1.0,2.0,4.0,1.0
?,R1884,EEE,B,5.0,4.0,4.0,5.0,2.0
Isha Kumar,R1885,ECE,C,4.0,1.0,4.0,2.0,5.0
Nikhil Sharma,R1886,MECH,B,1.0,4.0,5.0,3.0,1.0
Aarav Naidu,R1887,ECE,B,5.0,3.0,2.0,2.0,1.0
Pooja Naidu,R1888,MECH,B,4.0,2.0,3.0,2.0,5.0
Meera Rao,R1889,CIVIL,B,2.0,2.0,5.0,1.0,3.0
Diya Reddy,R1890,MECH,C,1.0,1.0,3.0,1.0,4.0
Ananya Naidu,R1891,CIVIL,C,3.0,2.0,2.0,4.0,5.0
Diya Kumar,R1892,EEE,A,1.0,3.0,5.0,3.0,?
Ananya Reddy,R1893,IT,B,2.0,2.0,4.0,2.0,4.0
Aarav Rao,R1894,IT,A,3.0,5.0,5.0,?,3.0
Kavya Rao,R1895,ECE,C,2.0,3.0,5.0,4.0,1.0
Vihaan Reddy,R1896,EEE,B,3.0,2.0,3.0,4.0,2.0
Isha Naidu,R1897,ECE,C,3.0,4.0,2.0,3.0,3.0
Sai Rao,R1898,EEE,A,2.0,5.0,1.0,?,4.0
Isha Naidu,R1899,CIVIL,C,2.0,2.0,5.0,4.0,3.0
?,R1900,CIVIL,B,2.0,3.0,1.0,4.0,3.0
Harsha Kumar,R1901,EEE,B,4.0,3.0,4.0,3.0,5.0
Isha Reddy,R1902,MECH,C,4.0,2.0,5.0,2.0,5.0
Pavani Sharma,R1903,ECE,B,3.0,4.0,4.0,3.0,2.0
Meera Kumar,R1904,CIVIL,C,1.0,1.0,5.0,3.0,1.0
Isha Rao,R1905,IT,A,1.0,4.0,4.0,3.0,3.0
Divya Sharma,R1906,ECE,C,3.0,3.0,2.0,4.0,4.0
Aditya Naidu,R1907,CIVIL,A,5.0,2.0,2.0,1.0,3.0
Harsha Kumar,R1908,MECH,C,5.0,3.0,1.0,3.0,1.0
Aarav Rao,R1909,MECH,B,3.0,3.0,5.0,2.0,5.0
Rohan Kumar,R1910,ECE,A,2.0,4.0,2.0,1.0,1.0
Isha Reddy,R1911,CSE,C,1.0,3.0,5.0,3.0,4.0
Meera Kumar,R1912,IT,C,1.0,1.0,4.0,3.0,2.0
Sai Sharma,R1913,MECH,A,1.0,1.0,2.0,5.0,1.0
Sneha Rao,R1914,MECH,C,1.0,3.0,1.0,4.0,1.0
Keerthi Naidu,R1915,ECE,C,5.0,2.0,5.0,?,4.0
Diya Rao,R1916,CIVIL,B,1.0,2.0,2.0,5.0,5.0
Arjun Kumar,R1917,ECE,C,2.0,4.0,2.0,2.0,5.0
Pooja Kumar,R1918,EEE,C,3.0,1.0,3.0,4.0,3.0
Aditya Rao,R1919,ECE,C,4.0,3.0,1.0,1.0,4.0
Arjun Rao,R1920,EEE,C,3.0,3.0,1.0,2.0,4.0
Keerthi Naidu,R1921,ECE,B,2.0,1.0,3.0,1.0,4.0
Sai Naidu,R1922,CIVIL,A,2.0,5.0,1.0,5.0,4.0
Pavani Rao,R1923,EEE,B,3.0,1.0,1.0,?,3.0
Rahul Sharma,R1924,EEE,A,4.0,5.0,4.0,1.0,3.0
Teja Naidu,?,ECE,B,4.0,1.0,3.0,5.0,1.0
Rahul Naidu,R1926,CIVIL,C,4.0,2.0,3.0,4.0,2.0
Isha Reddy,R1927,CIVIL,B,3.0,1.0,?,5.0,2.0
Aditya Reddy,R1928,ECE,B,1.0,3.0,5.0,3.0,5.0
Rahul Rao,R1929,CIVIL,C,5.0,3.0,1.0,3.0,5.0
Kavya Kumar,R1930,ECE,C,1.0,3.0,3.0,5.0,5.0
Sneha Naidu,R1931,CIVIL,B,1.0,2.0,4.0,5.0,5.0
Keerthi Rao,R1932,MECH,A,3.0,3.0,1.0,5.0,2.0
Meera Sharma,R1933,CIVIL,B,3.0,1.0,4.0,3.0,4.0
Rohan Reddy,R1934,CSE,B,5.0,4.0,3.0,3.0,4.0
Vihaan Reddy,R1935,ECE,A,1.0,2.0,2.0,1.0,3.0
Aditya Rao,R1936,CIVIL,A,3.0,5.0,2.0,5.0,5.0
Harsha Kumar,R1937,EEE,A,1.0,4.0,4.0,2.0,3.0
Isha Kumar,R1938,ECE,A,4.0,4.0,1.0,2.0,5.0
?,R1939,?,C,5.0,?,?,4.0,1.0
Nikhil Rao,R1940,CIVIL,B,2.0,3.0,?,5.0,2.0
Vihaan Rao,R1941,CIVIL,B,1.0,4.0,1.0,4.0,3.0
Teja Sharma,R1942,IT,B,2.0,3.0,5.0,3.0,5.0
Isha Reddy,R1943,CIVIL,B,3.0,5.0,4.0,3.0,1.0
Nikhil Rao,R1944,CIVIL,C,2.0,4.0,5.0,1.0,5.0
Ananya Sharma,R1945,CIVIL,C,1.0,2.0,4.0,2.0,5.0
Kavya Reddy,R1946,EEE,C,3.0,2.0,3.0,1.0,4.0
Sai Sharma,R1947,CIVIL,B,1.0,4.0,4.0,5.0,2.0
Divya Reddy,R1948,MECH,A,1.0,1.0,2.0,1.0,3.0
Sneha Sharma,R1949,ECE,A,3.0,2.0,5.0,5.0,4.0
Keerthi Rao,R1950,MECH,B,4.0,2.0,3.0,1.0,1.0
Pooja Kumar,R1951,IT,B,4.0,2.0,3.0,4.0,2.0
Aditya Kumar,R1952,MECH,A,5.0,2.0,2.0,1.0,2.0
Aarav Reddy,R1953,CIVIL,C,4.0,3.0,4.0,1.0,2.0
Rahul Kumar,R1954,ECE,A,5.0,5.0,5.0,3.0,3.0
Sai Reddy,R1955,MECH,A,5.0,4.0,3.0,1.0,2.0
Diya Kumar,R1956,CSE,B,4.0,1.0,4.0,1.0,5.0
Aarav Naidu,R1957,ECE,A,4.0,3.0,5.0,1.0,4.0
Diya Rao,R1958,MECH,C,4.0,3.0,4.0,1.0,3.0
Teja Sharma,R1959,MECH,C,5.0,5.0,5.0,1.0,1.0
Nikhil Rao,R1960,ECE,C,3.0,4.0,1.0,3.0,5.0
Nikhil Sharma,R1961,CIVIL,C,4.0,1.0,1.0,2.0,1.0
Pavani Rao,R1962,ECE,C,3.0,1.0,4.0,3.0,3.0
Keerthi Kumar,R1963,MECH,A,2.0,2.0,3.0,4.0,2.0
Meera Kumar,R1964,EEE,C,5.0,5.0,4.0,2.0,1.0
Harsha Kumar,R1965,IT,B,5.0,4.0,3.0,5.0,5.0
Aarav Sharma,R1966,ECE,B,2.0,3.0,2.0,2.0,2.0
Aditya Rao,R1967,CIVIL,A,4.0,4.0,2.0,3.0,4.0
Meera Sharma,R1968,MECH,B,1.0,3.0,2.0,3.0,5.0
Aditya Sharma,R1969,IT,B,5.0,3.0,3.0,1.0,4.0
Aditya Reddy,R1970,MECH,B,2.0,5.0,4.0,4.0,3.0
Isha Reddy,R1971,IT,A,4.0,2.0,3.0,1.0,5.0
Vihaan Kumar,R1972,CSE,?,1.0,1.0,3.0,3.0,4.0
Aarav Rao,R1973,CIVIL,A,4.0,3.0,4.0,5.0,2.0
?,R1974,EEE,C,5.0,3.0,5.0,5.0,3.0
Rahul Sharma,R1975,MECH,B,1.0,2.0,5.0,4.0,2.0
Rohan Rao,R1976,CSE,B,4.0,1.0,5.0,2.0,?
Sai Naidu,R1977,MECH,C,2.0,3.0,3.0,2.0,4.0
Divya Reddy,R1978,CSE,A,4.0,2.0,3.0,3.0,4.0
Harsha Rao,R1979,CSE,C,5.0,2.0,4.0,4.0,2.0
Rahul Rao,R1980,ECE,C,2.0,3.0,3.0,2.0,5.0
Meera Kumar,R1981,CIVIL,A,3.0,5.0,3.0,2.0,3.0
Divya Sharma,R1982,IT,C,4.0,1.0,4.0,5.0,3.0
Ananya Sharma,R1983,CSE,A,4.0,5.0,1.0,4.0,5.0
Ananya Naidu,?,?,B,3.0,1.0,4.0,1.0,1.0
Harsha Reddy,R1985,CSE,A,5.0,5.0,4.0,1.0,4.0
Harsha Reddy,R1986,CSE,B,3.0,2.0,2.0,2.0,3.0
Teja Sharma,R1987,CSE,C,5.0,3.0,5.0,5.0,3.0
Vihaan Sharma,R1988,ECE,C,5.0,1.0,1.0,3.0,5.0
Pavani Rao,R1989,EEE,C,5.0,2.0,4.0,2.0,1.0
Isha Reddy,R1990,CIVIL,B,2.0,3.0,4.0,2.0,1.0
Meera Kumar,R1991,IT,B,1.0,3.0,1.0,1.0,2.0
Aarav Kumar,R1992,MECH,A,3.0,5.0,4.0,1.0,2.0
Sai Kumar,R1993,CIVIL,A,3.0,3.0,4.0,2.0,2.0
Kavya Rao,R1994,MECH,A,5.0,3.0,3.0,1.0,1.0
Isha Rao,R1995,CSE,B,1.0,4.0,5.0,1.0,5.0
Vihaan Sharma,R1996,MECH,B,3.0,1.0,1.0,2.0,3.0
Vihaan Sharma,R1997,ECE,A,2.0,4.0,5.0,2.0,5.0
Meera Rao,R1998,CSE,A,1.0,3.0,5.0,1.0,2.0
Meera Kumar,R1999,CIVIL,C,5.0,5.0,3.0,2.0,4.0
Meera Reddy,R2000,CIVIL,C,2.0,3.0,5.0,2.0,5.0
Sai Reddy,R1750,ECE,B,5.0,1.0,1.0,5.0,2.0
Keerthi Kumar,R1861,?,A,2.0,4.0,2.0,2.0,2.0
Diya Naidu,R1652,CIVIL,B,5.0,4.0,3.0,2.0,1.0
Vihaan Reddy,R1461,CSE,A,5.0,?,3.0,3.0,2.0
Aarav Naidu,R1343,EEE,B,5.0,1.0,3.0,3.0,4.0
Harsha Rao,R1005,IT,C,1.0,1.0,4.0,5.0,2.0
Meera Reddy,?,ECE,C,1.0,5.0,4.0,3.0,1.0
Isha Rao,R1533,CIVIL,C,5.0,3.0,4.0,2.0,3.0
Isha Rao,R1498,CSE,B,5.0,3.0,1.0,4.0,2.0
Rahul Naidu,R1765,EEE,C,1.0,3.0,5.0,3.0,1.0
Meera Reddy,R1179,ECE,C,4.0,1.0,4.0,1.0,1.0
Harsha Reddy,R1160,IT,C,3.0,?,5.0,4.0,1.0
Diya Sharma,R1135,MECH,C,3.0,5.0,4.0,3.0,5.0
Ananya Kumar,R1206,CSE,A,2.0,4.0,3.0,5.0,5.0
Meera Naidu,R1244,IT,B,3.0,2.0,2.0,5.0,2.0
Keerthi Rao,R1932,MECH,A,3.0,3.0,1.0,5.0,2.0
Aarav Reddy,R1482,CSE,A,5.0,4.0,4.0,4.0,5.0
Aditya Rao,R1815,EEE,B,1.0,1.0,4.0,5.0,5.0
Nikhil Rao,R1429,EEE,B,4.0,3.0,1.0,3.0,2.0
Sai Naidu,R1977,MECH,C,2.0,3.0,3.0,2.0,4.0
